,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,医疗器械,300298,三诺生物,114.0,92.0,31.62,3.55,20.39,1.7,-13.1,-8.44,-20.32
1,银行,601528,瑞丰银行,108.0,96.0,6.09,0.57,5.52,1.8,-4.3,-5.15,1.66
2,房地产开发,600533,栖霞建设,28.0,28.0,21.1,0.83,2.66,1.1,-3.3,5.56,13.68
3,银行,600908,无锡银行,131.0,119.0,4.75,0.58,5.97,1.8,-3.1,-0.17,4.92
4,化学制品,002637,赞宇科技,53.0,50.0,27.37,1.4,11.31,1.3,-3.0,15.88,16.24
5,银行,002839,张家港行,109.0,109.0,5.49,0.61,4.47,1.3,-2.2,-1.11,7.19
6,中药,600285,羚锐制药,130.0,129.0,13.66,4.23,22.85,1.3,-1.2,-2.48,7.48
7,航空机场,000089,深圳机场,146.0,146.0,23.38,1.28,7.12,1.4,-0.7,1.71,5.17
8,造纸印刷,605377,华旺科技,52.0,52.0,16.57,1.32,9.27,1.5,0.5,5.1,-13.77
9,消费电子,300679,电连技术,199.0,168.0,40.99,4.0,46.83,1.9,2.6,2.56,-20.94
10,美容护理,003006,百亚股份,130.0,129.0,34.49,9.19,30.19,1.2,3.4,3.36,28.8
11,消费电子,603341,龙旗科技,196.0,111.0,27.53,3.52,41.71,1.1,3.9,4.46,-9.84
12,中药,600557,康缘药业,97.0,97.0,34.02,2.08,17.11,2.1,9.2,4.84,25.62
13,电力行业,600452,涪陵电力,154.0,154.0,46.06,2.85,10.0,1.2,9.2,3.63,-5.12
