序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,600930,N华新,7.18,125.79,4.0,17970995.0,12702393309.0,146.86,10.17,5.5,5.5,3.18,,71.74,25.17,2.85,294157019457.0,17987158309.0,0.0,0.0,125.79,125.79
2,839680,*ST广道,9.42,29.93,2.17,185450.0,161347900.81,35.03,9.42,6.88,6.9,7.25,1.09,39.55,-25.9,9.65,631139058.0,441735300.0,0.0,0.0,-21.76,-36.27
3,835305,*ST云创,19.12,20.1,3.2,199229.0,357079771.84,31.22,19.97,15.0,15.1,15.92,1.1,24.57,-83.37,4.05,2531031510.0,1550648730.0,0.0,-0.16,-29.71,-5.86
4,300344,ST立方,4.79,20.05,0.8,766805.0,341970657.6,20.3,4.79,3.98,4.0,3.99,5.14,11.99,-44.34,12.43,3073773733.0,3062838163.0,0.0,0.0,-43.04,7.64
5,301012,扬电科技,23.14,20.02,3.86,61548.0,142421076.98,0.0,23.14,23.14,23.14,19.28,0.61,3.92,75.45,3.97,4557658149.0,3629026809.0,0.0,0.0,38.31,30.07
6,300819,聚杰微纤,28.18,20.02,4.7,126053.0,331296000.5,20.74,28.18,23.31,23.5,23.48,2.11,9.35,71.46,4.97,4204596900.0,3797600205.0,0.0,0.0,24.97,121.89
7,688118,普元信息,28.43,20.01,4.74,104042.0,284111132.0,14.48,28.43,25.0,25.0,23.69,2.69,11.33,-23.7,3.19,2610374738.0,2610374738.0,0.0,0.0,23.5,36.16
8,300950,德固特,35.4,20.0,5.9,252687.0,844046616.02,19.76,35.4,29.57,29.57,29.5,1.73,27.96,57.0,7.19,5397792000.0,3199267035.0,0.0,0.0,131.98,121.94
9,688585,上纬新材,23.24,19.98,3.87,16148.0,37527720.0,0.0,23.24,23.24,23.24,19.37,1.38,0.4,103.92,7.37,9374126559.0,9374126559.0,0.0,0.0,221.44,250.53
10,300436,广生堂,74.87,16.55,10.63,330196.0,2339084199.68,20.07,77.09,64.2,65.54,64.24,1.27,24.15,-104.64,35.95,11924320290.0,10236212849.0,0.0,-0.28,147.26,129.17
11,300357,我武生物,25.0,15.9,3.43,547896.0,1349408953.99,10.85,25.55,23.21,23.21,21.57,8.93,11.32,44.02,5.53,13089600000.0,12101605125.0,0.08,0.08,26.33,24.38
12,300652,雷迪克,67.7,15.83,9.25,137043.0,874763578.54,19.59,69.5,58.05,58.45,58.45,1.98,11.45,64.62,6.4,9030541724.0,8104903658.0,-0.15,-1.74,93.15,197.58
13,300911,亿田智能,49.74,15.46,6.66,129471.0,616559278.05,20.19,51.5,42.8,43.3,43.08,4.89,7.64,-52.88,7.52,9020945432.0,8424111790.0,1.32,0.67,61.23,156.92
14,300662,科锐国际,33.76,14.36,4.24,191410.0,649281369.02,17.38,35.42,30.29,30.29,29.52,4.43,9.75,28.75,3.31,6644182680.0,6626534066.0,-0.12,1.2,7.34,61.53
15,688698,伟创电气,52.28,13.97,6.41,125157.0,636246725.0,17.27,53.8,45.88,46.09,45.87,4.53,5.92,48.76,5.26,11050699325.0,11050699325.0,-0.04,0.06,14.83,19.55
16,830879,基康仪器,21.6,13.68,2.6,90000.0,193206134.36,19.79,22.87,19.11,19.23,19.0,3.4,6.67,46.09,6.2,3606472750.0,2912587157.0,-0.09,-0.32,36.62,125.0
17,688668,鼎通科技,70.06,12.6,7.84,171312.0,1170436807.0,15.28,72.01,62.5,63.87,62.22,2.14,12.31,46.09,5.42,9752472924.0,9752472924.0,-0.11,-0.17,75.59,51.12
18,301119,正强股份,39.0,11.91,4.15,104548.0,386793444.91,13.95,39.65,34.79,34.85,34.85,4.56,12.43,26.74,4.19,4056000000.0,3280290000.0,0.08,0.13,34.25,30.04
19,301279,金道科技,24.63,11.7,2.58,150334.0,363453453.39,16.37,25.66,22.05,22.05,22.05,2.91,40.51,54.49,2.45,3195470905.0,914117155.0,0.0,0.78,51.01,60.35
20,600190,退市锦港,0.61,10.91,0.06,299404.0,17702817.0,10.91,0.61,0.55,0.55,0.55,1.61,1.68,12.98,-8.78,1221397815.0,1085485563.0,0.0,0.0,-53.44,-62.11
21,301196,唯科科技,79.04,10.27,7.36,115812.0,889370861.11,18.54,82.49,69.2,71.5,71.68,2.17,9.3,31.98,3.16,9900273523.0,9846587579.0,0.0,-0.05,74.91,140.46
22,838810,春光智能,17.9,10.09,1.64,129245.0,223828889.29,13.59,18.35,16.14,16.27,16.26,2.34,20.71,144.04,7.44,1716610000.0,1117095056.0,0.11,0.0,53.91,190.11
23,601512,中新集团,9.08,10.06,0.83,208293.0,188366497.0,2.42,9.08,8.88,8.99,8.25,2.46,1.39,13.15,0.94,13609921200.0,13609921200.0,0.0,0.0,28.25,20.26
24,002329,皇氏集团,4.16,10.05,0.38,1488216.0,580285012.47,12.7,4.16,3.68,3.69,3.78,3.9,22.88,152.32,3.65,3462800578.0,2705617924.0,0.0,0.0,32.91,14.6
25,600201,生物股份,8.66,10.04,0.79,979268.0,818755531.0,11.56,8.66,7.75,7.85,7.87,2.87,8.74,31.72,1.84,9702397497.0,9702397497.0,0.0,0.0,26.42,26.79
26,002900,哈三联,15.57,10.04,1.42,296253.0,443518560.5,11.02,15.57,14.01,14.01,14.15,0.94,17.12,-42.69,2.38,4925687054.0,2694856301.0,0.0,0.0,29.21,61.35
27,002645,华宏科技,13.92,10.04,1.27,1427085.0,1918763516.5,8.3,13.92,12.87,12.88,12.65,2.98,27.83,65.0,2.49,8094966351.0,7139040850.0,0.0,0.0,90.68,104.11
