,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,煤炭行业,601918,新集能源,168.0,168.0,7.89,1.04,6.48,1.8,-3.6,-6.49,-9.75
1,铁路公路,000900,现代投资,67.0,67.0,9.54,0.62,4.43,1.1,6.0,18.13,3.99
2,家电行业,002705,新宝股份,121.0,120.0,12.22,1.5,14.86,1.4,6.9,20.32,2.13
3,汽车零部件,603040,新坐标,60.0,59.0,22.29,4.42,43.65,1.8,7.8,80.67,96.44
4,钢铁行业,002756,永兴材料,178.0,128.0,23.19,1.44,32.93,1.1,6.6,10.76,-11.55
5,化学制品,002096,易普力,161.0,91.0,24.3,2.1,12.94,1.3,5.8,5.72,8.92
6,化学制药,430017,星昊医药,26.0,26.0,26.25,1.7,21.49,1.4,9.5,8.59,57.44
7,医疗服务,600327,大东方,45.0,45.0,27.92,1.32,5.04,1.4,5.9,2.02,-4.91
8,化学制药,002019,亿帆医药,175.0,121.0,28.63,2.05,14.42,2.3,9.7,33.4,35.78
9,玻璃玻纤,301188,力诺药包,49.0,49.0,30.28,3.19,20.53,1.1,-10.7,19.85,37.6
10,电子元件,688800,瑞可达,102.0,102.0,33.81,4.82,49.72,2.0,3.9,50.26,29.72
11,医疗器械,688050,爱博医疗,132.0,130.0,35.71,4.96,68.36,1.1,-3.8,-32.21,-24.9
12,装修建材,002372,伟星新材,168.0,155.0,36.93,3.8,10.55,1.1,-5.1,-11.72,-13.1
13,消费电子,300679,电连技术,185.0,156.0,37.54,3.82,43.57,2.0,-0.8,-7.75,-26.44
14,汽车零部件,603166,福达股份,112.0,110.0,42.83,4.65,17.26,1.8,8.4,25.62,140.73
